Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,k_consistency,n_flow,curve_rmse,curve_r2,curve_mse
none,74.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.8461538460443787,0.020408163265097874,26,F1_none_74.0_0.0,power_law,44.72972882352145,0.5460293127356414,1.1474080821748558,0.9956735539633228,1.3165453070401807
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,27,F1_Tego_73.0_0.5,power_law,8.546791866474777,0.7668913654362528,0.11719727423324011,0.9973453096554115,0.013735201087701288
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,28,F1_Tego_77.0_0.25,power_law,46.64514945272537,0.5992964687962673,0.5825625436359112,0.998813867637202,0.3393791172475429
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,29,F1_Tego_69.0_0.25,power_law,5.457840142547016,0.7270215303837212,0.252555652573726,0.9721239045827305,0.06378435764694058
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,30,F1_Tego_77.0_0.25,power_law,223.3486686671182,0.3185785765513606,10.39480293633832,0.9896195380983701,108.05192808530775
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,31,F1_Tego_77.0_0.25,power_law,239.84265450670355,0.3513620057759087,6.347475998100474,0.9962942741320321,40.290451546461604
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,32,F1_Tego_73.0_0.25,power_law,67.37773798028621,0.37536185232276725,3.4087375960812527,0.9874113768143455,11.619491998937796
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,33,F1_Tego_69.0_0.5,power_law,5.572542099773147,0.7165982872047433,0.16446194337664055,0.9895489991230546,0.02704773081922132
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,34,F1_Tego_73.0_0.25,power_law,42.37692646008927,0.3740371885580526,2.6054484775841287,0.9821615209317286,6.788361769345453
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,35,F1_Tego_73.0_0.5,power_law,45.735499315734316,0.4413500558780991,2.3798295465488244,0.9859355064024151,5.663588670626784
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,36,F1_Tego_73.0_0.5,power_law,7.804117320459157,0.7649254639492327,0.16570653167427368,0.9935601979145209,0.027458654639517063
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,37,F1_Tego_69.0_0.25,power_law,2.990315408358676,0.7492679864665872,0.21731954340584883,0.9214470651904214,0.04722778394612662
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,38,F1_Tego_69.0_0.5,power_law,5.486550927044459,0.6852357232922035,0.044888324837732176,0.9993219719961824,0.0020149617067377634
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,39,F1_Tego_69.0_0.25,power_law,1.7752656275283472,0.843225105003197,0.08654555958663919,0.9418188922456606,0.007490133884164515
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,40,F1_Tego_73.0_0.25,power_law,65.4275135817037,0.36435448072441196,3.606256501653042,0.9854331065923495,13.005085955714835
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,41,F1_Tego_69.0_0.5,power_law,3.267142912791287,0.755121861364846,0.19983313241362993,0.9440795010707027,0.03993328081024335
